id_cliente,fecha_compra,monto,categoria_producto,ciudad,metodo_pago
b21de36a-ca80-40e9-8346-1ac741d1ac47,2024-12-21 16:16:38,307.5,Hogar,Medellín,Tarjeta de Crédito
3e0c029a-e4ae-4c10-b8b0-9cad70770843,2023-12-20 20:25:42,399.96,Ropa,Bogotá,PSE
6e38e9ab-2521-4402-8c00-39d0d49b7d1c,2025-05-25 16:11:44,742.86,Alimentos,Bogotá,Efectivo
f11ce250-5de4-4e82-beb5-b11d03b288c9,2024-11-14 23:45:58,86.47,Electrónica,Medellín,Billetera digital
bcc50940-411d-43cf-9aa7-b2f2a3012026,2024-07-19 23:56:32,261.33,Hogar,Medellín,PSE
70e7cae2-8d56-4a0c-91bb-f76bbb05b7db,2025-06-19 19:50:03,174.79,Hogar,Barranquilla,PSE
e22cb71e-4b64-452a-ba62-a76f1661fb6b,2025-03-27 09:00:39,282.43,Electrónica,Medellín,PSE
642143d7-79b1-4f1d-998b-f29befdd254f,2024-02-26 17:32:53,84.59,Electrónica,Cali,PSE
718b90ab-5b4b-43c3-be4f-2c2dec58e9c8,2024-04-04 00:43:02,18.02,Hogar,Cali,Tarjeta de Crédito
2b4dd1ef-3673-4ecd-b1e0-1abf37199783,2025-07-08 10:17:38,301.12,Ropa,Bogotá,Billetera digital
724f090c-f3a7-4d77-9550-61c522c8087c,2025-06-23 01:03:34,182.35,Electrónica,Medellín,Tarjeta de Crédito
1018d877-e31f-40c4-aabb-64b11ab0768c,2024-10-09 17:21:11,344.62,Juguetes,Medellín,Efectivo
8cfb64f0-22cf-4176-8c4c-62790b8b5899,2024-02-21 05:01:42,288.93,Electrónica,Bogotá,Billetera digital
b14c0431-1fdf-491c-9566-f944f414af0f,2025-09-28 00:07:10,193.25,Hogar,Medellín,PSE
eaf41c7f-857f-48ca-b2af-cc8025f27c90,2025-09-07 00:07:18,511.27,Libros,Bogotá,PSE
4fad68c2-627e-4db9-b6c8-5cd8d30f2a74,2024-09-26 19:59:40,262.52,Alimentos,Cartagena,PSE
355cd936-5a2b-4193-a68e-15175be2a253,2025-02-06 08:49:54,81.45,Libros,Cartagena,Tarjeta de Crédito
c963940d-dd3f-4dcf-b717-dcce9396dc63,2025-03-18 13:06:07,288.21,Electrónica,Medellín,Efectivo
db67a332-8e03-4e34-8463-14baee704a60,2025-06-16 13:36:42,271.08,Alimentos,Medellín,Efectivo
355cd936-5a2b-4193-a68e-15175be2a253,2024-01-05 08:43:54,195.77,Hogar,Bogotá,Tarjeta de Crédito
81466ded-5e1e-4397-b27f-a556530b2671,2023-12-15 02:47:13,276.32,Electrónica,Barranquilla,Tarjeta de Crédito
bf92cac0-a5cf-4e03-bfb4-f00ec586406b,2025-05-10 11:14:53,187.6,Juguetes,Medellín,Tarjeta de Crédito
0777e3d0-3471-458a-9960-c58520ac695e,2024-01-04 20:57:20,118.66,Hogar,Bogotá,Tarjeta de Crédito
